,importance
class_Business,2192424.5949089886
class_Economy,2192424.5949052908
airline_Vistara,44924.83629321946
airline_Indigo,25708.610584320708
duration,13063.15234413254
stops_one,12494.912616535714
airline_GO_FIRST,11760.803139416994
stops_zero,10909.71984032473
airline_AirAsia,9615.791875788193
airline_SpiceJet,3953.4287810595606
arrival_time_Late_Night,2652.965032749279
days_left,2559.273869241809
airline_Air_India,1479.7262630590867
stops_two_or_more,1244.1097819124288
arrival_time_Early_Morning,1100.8142148545023
arrival_time_Evening,958.0896773020606
destination_city_Delhi,830.4336495203697
departure_time_Afternoon,812.8101698858801
source_city_Delhi,563.324916667163
departure_time_Night,524.548917131103
arrival_time_Afternoon,487.2564137702118
departure_time_Late_Night,342.65604423482955
arrival_time_Morning,277.2674627420133
destination_city_Kolkata,131.8679013260802
arrival_time_Night,124.27909400685172
source_city_Chennai,105.46376281442109
destination_city_Chennai,102.46011002195179
departure_time_Morning,99.4429189520858
source_city_Kolkata,78.07978554384066
destination_city_Bangalore,59.26134525571845
source_city_Mumbai,52.357534079671495
source_city_Hyderabad,49.39974543290038
departure_time_Early_Morning,44.91868205769006
source_city_Bangalore,41.10462373241233
destination_city_Mumbai,33.306514773721965
destination_city_Hyderabad,20.64075063545638
departure_time_Evening,18.952490707366685
flight,0.0696500216801554
